rooms,garages,useful_area,latitude,longitude,value,interior_quality,time_on_market,sold
4.0,4.0,165,-23.5940805,-46.6253567,2122170,3,126.55704090456938,0
1.0,3.0,150,-23.5965821,-46.6674053,3273320,1,285.0,1
4.0,2.0,267,-23.5665198,-46.6644941,3594750,1,305.2881358457889,0
4.0,3.0,177,-23.5830901,-46.6292869,1937370,1,179.03472619543436,0
3.0,1.0,87,-23.6020722,-46.6693546,928431,3,107.0,1
3.0,1.0,132,-23.5733092,-46.6560698,1624130,2,52.00881874335318,0
3.0,1.0,115,-23.5762962,-46.6449459,1172220,1,82.663323239785,0
2.0,1.0,75,-23.5934543,-46.6843239,817825,3,130.0,1
2.0,1.0,85,-23.5528996,-46.6779525,1060420,1,169.41183454403648,0
2.0,1.0,82,-23.6007618,-46.6446961,718114,1,132.0,1
4.0,4.0,282,-23.5960112,-46.64136,3014670,3,280.0,1
3.0,2.0,85,-23.6099746,-46.6804737,959694,2,67.0,1
3.0,2.0,108,-23.612045,-46.7327385,605843,2,47.0,1
4.0,2.0,198,-23.580753,-46.692954,2338970,3,147.2522332068004,0
2.0,1.0,53,-23.5865922,-46.6263166,413756,3,81.0,1
4.0,9.0,292,-23.4920745,-46.6296689,2156560,3,110.0,1
4.0,2.0,117,-23.641774,-46.7201059,1266570,2,101.62721821788419,0
2.0,1.0,118,-23.5745858,-46.6430151,1085030,3,27.0,1
2.0,1.0,79,-23.6190741,-46.6409573,496660,3,2.090786593401477,0
5.0,3.0,354,-23.521994,-46.712007,2862060,2,28.0,1
3.0,3.0,275,-23.5697666,-46.6639718,4952940,1,26.0,1
2.0,1.0,88,-23.5700104,-46.6534619,930635,2,299.0,1
3.0,2.0,80,-23.554079,-46.6900601,755018,3,22.0,1
3.0,1.0,120,-23.6098979,-46.682115,1082040,2,34.0,1
4.0,5.0,285,-23.621793,-46.731906,1722240,2,82.47659458315127,0
3.0,3.0,132,-23.6061213,-46.6350447,1422420,2,352.19747171934534,0
3.0,2.0,160,-23.5791937,-46.6925563,2095120,1,61.283438130153556,0
4.0,1.0,136,-23.5792526,-46.6720447,1418200,2,101.0,1
2.0,1.0,60,-23.6062558,-46.6575501,551180,2,255.0,1
1.0,1.0,34,-23.5640714,-46.6829393,284940,2,57.0,1
3.0,1.0,119,-23.5721126,-46.6254552,692731,3,48.0,1
3.0,1.0,110,-23.5603598,-46.6765225,1052240,1,7.0,1
2.0,1.0,60,-23.6376832,-46.7370016,353059,2,210.0,1
4.0,1.0,170,-23.5401935,-46.6555082,1530420,1,68.20498144615097,0
2.0,2.0,175,-23.579425,-46.6723432,1869130,3,288.30730796133497,0
3.0,2.0,220,-23.6109976,-46.6593853,2648710,2,44.765926891918916,0
4.0,4.0,332,-23.616918,-46.733036,1848820,2,177.0,1
3.0,1.0,138,-23.5646558,-46.6848983,1359450,3,79.0,1
5.0,3.0,220,-23.618189,-46.6740037,2423010,1,281.4085816779133,0
1.0,2.0,70,-23.6272122,-46.7198961,649242,1,4.65975396462508,0
2.0,1.0,99,-23.5728344,-46.658414,955660,1,322.96021310219356,0
3.0,3.0,155,-23.6218283,-46.6747552,1772300,1,63.0,1
4.0,3.0,320,-23.6079969,-46.7227703,1837810,3,85.0,1
3.0,1.0,100,-23.549452,-46.6542286,828204,1,68.79657634318971,0
3.0,2.0,114,-23.5521276,-46.6903137,977160,2,53.0,1
3.0,2.0,360,-23.5663315,-46.6457937,2302380,3,11.0,1
4.0,3.0,119,-23.6000081,-46.6878647,1682990,3,179.0,1
1.0,1.0,79,-23.587501,-46.632405,897875,2,153.5990351521798,0
4.0,3.0,230,-23.5455194,-46.6554409,1973640,2,3.0,1
3.0,1.0,90,-23.5998122,-46.7313984,587345,1,153.0,1
4.0,6.0,273,-23.5525658,-46.5747897,2314810,3,26.0,1
3.0,2.0,140,-23.6269393,-46.734808,1019830,1,119.0,1
2.0,2.0,70,-23.5874835,-46.6783846,960000,2,265.0,1
2.0,1.0,69,-23.586803,-46.631595,803592,2,56.0,1
4.0,2.0,132,-23.5608129,-46.6057828,977619,2,60.35192615151113,0
3.0,1.0,160,-23.5685433,-46.6337633,1092300,1,192.4116141642081,0
3.0,2.0,230,-23.5627398,-46.6684565,2882970,2,95.61534716355276,0
3.0,4.0,239,-23.611741,-46.658524,2727780,1,194.9924602201379,0
2.0,1.0,86,-23.5659481,-46.6551647,1026950,3,34.0,1
1.0,1.0,43,-23.5959967,-46.6748306,477275,3,57.0,1
2.0,1.0,66,-23.5983982,-46.6421498,702025,2,16.0,1
4.0,6.0,443,-23.6263042,-46.7234676,3590560,1,36.60552101767608,0
3.0,2.0,224,-23.5674742,-46.658706,2323410,2,64.0,1
2.0,1.0,87,-23.589206,-46.6298121,674922,3,13.0,1
3.0,2.0,181,-23.5974059,-46.7234728,1106620,2,62.0,1
4.0,3.0,175,-23.6021299,-46.6445558,1941000,3,14.0,1
1.0,1.0,49,-23.6134577,-46.6792943,511970,3,4.48621130912509,0
3.0,3.0,157,-23.6131532,-46.7061489,1282110,1,88.0,1
4.0,3.0,176,-23.6216337,-46.7372647,1031520,1,116.0,1
1.0,2.0,134,-23.5524617,-46.6993093,1747680,1,218.806968647322,0
4.0,3.0,194,-23.6129473,-46.6244062,1766290,2,62.70876426333188,0
4.0,2.0,310,-23.5690897,-46.6535164,3337510,1,70.94460846873977,0
3.0,2.0,90,-23.6224747,-46.7384175,570923,3,14.0,1
3.0,4.0,245,-23.5708349,-46.6323273,2660270,3,60.0,1
4.0,3.0,154,-23.6276318,-46.6735386,1901330,1,48.95622709461509,0
3.0,1.0,90,-23.5550735,-46.6579607,665310,1,43.37680966503317,0
3.0,2.0,178,-23.5623657,-46.6610021,2701490,3,104.107391620189,0
3.0,2.0,76,-23.5796413,-46.5887047,500304,1,50.0,1
3.0,2.0,104,-23.6133594,-46.6811316,1233740,2,354.17931522510185,0
3.0,2.0,208,-23.5604996,-46.66539,1860200,3,82.81216120429107,0
2.0,1.0,117,-23.5568506,-46.657206,1304940,3,294.1179258931164,0
3.0,2.0,123,-23.6102772,-46.7065684,1140700,3,180.0,1
2.0,1.0,62,-23.5541189,-46.6530597,667560,3,45.591306978151735,0
3.0,3.0,200,-23.6168015,-46.6815814,1896750,1,85.50754505214269,0
3.0,2.0,120,-23.525588,-46.729506,939351,3,266.22493909937964,0
3.0,1.0,128,-23.5725783,-46.6460746,989933,2,55.0,1
4.0,5.0,549,-23.5978861,-46.7243159,3996160,3,186.51920484414168,0
2.0,1.0,50,-23.5744485,-46.632681,311910,2,66.0,1
4.0,4.0,340,-23.619735,-46.6735144,3444060,1,41.09722575083376,0
4.0,3.0,170,-23.6214288,-46.6380844,1547180,3,191.0841243991957,0
3.0,1.0,89,-23.5735034,-46.6431252,785063,3,95.79489405956977,0
2.0,1.0,60,-23.6361373,-46.7390978,715094,3,305.6573592591782,0
3.0,1.0,70,-23.5912012,-46.6358037,629359,3,177.0,1
2.0,1.0,75,-23.5859497,-46.7199379,499316,3,23.0,1
3.0,4.0,160,-23.5337751,-46.67743,1848430,2,321.49908324459705,0
2.0,1.0,71,-23.6443676,-46.6674302,540621,3,66.0,1
2.0,1.0,65,-23.565116,-46.6863618,915195,1,20.561368228421202,0
2.0,1.0,62,-23.5420918,-46.5699879,436581,1,298.6129501820453,0
3.0,2.0,100,-23.5607639,-46.6816284,1165380,1,294.1981389755675,0
4.0,3.0,139,-23.62029,-46.7377585,1101180,1,344.82007080782796,0
2.0,2.0,57,-23.532772,-46.660198,677492,2,98.72302808564604,0
2.0,1.0,88,-23.5641704,-46.6579093,1046110,2,16.439215585810224,0
3.0,1.0,64,-23.5722123,-46.61784,489505,3,138.0,1
2.0,1.0,57,-23.6240405,-46.6383954,494714,2,29.0,1
2.0,2.0,100,-23.563983,-46.6954818,1498820,1,12.0,1
3.0,1.0,120,-23.5709223,-46.6504523,1166460,1,54.0,1
3.0,2.0,81,-23.5296784,-46.6901401,935768,1,187.36843871910838,0
3.0,1.0,165,-23.5715489,-46.6545361,1597180,2,305.6209381959381,0
4.0,2.0,150,-23.617215,-46.676077,1478600,3,134.10915555252018,0
4.0,3.0,243,-23.552762,-46.6804592,1771160,1,73.0,1
4.0,3.0,165,-23.583842,-46.6803109,2083070,1,24.0,1
2.0,1.0,65,-23.6199452,-46.6379632,513516,1,6.0,1
2.0,1.0,70,-23.5030877,-46.6372762,466729,3,73.0,1
3.0,2.0,75,-23.6297233,-46.7319318,536047,2,92.42290501790058,0
1.0,1.0,34,-23.5938703,-46.6723521,521829,2,208.78078734096616,0
1.0,1.0,35,-23.5722685,-46.6592238,624763,3,233.0,1
3.0,2.0,92,-23.5332604,-46.6813824,824438,3,159.0,1
1.0,1.0,45,-23.554969,-46.65158,414765,3,19.281642209405668,0
2.0,1.0,58,-23.5520146,-46.6497129,526107,1,51.0,1
2.0,1.0,62,-23.6436218,-46.634931,422841,2,42.1332452555838,0
4.0,3.0,250,-23.5518287,-46.6914011,2230730,3,5.313850526177442,0
4.0,3.0,300,-23.5934259,-46.6741648,3860240,1,78.0,1
4.0,3.0,265,-23.6075023,-46.7073718,1453670,2,31.0,1
4.0,1.0,250,-23.5377673,-46.6545505,2077370,2,317.0497387375338,0
4.0,3.0,302,-23.5448204,-46.6533502,3532380,2,27.150164525019136,0
4.0,3.0,128,-23.5931858,-46.6240003,1427170,1,330.2919541797953,0
1.0,1.0,35,-23.6020652,-46.6747383,454664,1,303.3058906823212,0
3.0,2.0,85,-23.616525,-46.635171,873756,2,15.0,1
3.0,2.0,135,-23.6254459,-46.623809,979635,3,2.0,1
2.0,1.0,78,-23.6036651,-46.6264489,701286,1,116.9193567844468,0
3.0,2.0,132,-23.5500013,-46.5725129,844216,2,37.0,1
4.0,3.0,192,-23.5245159,-46.6978002,1733660,1,61.080233497655676,0
3.0,3.0,159,-23.5608466,-46.5855257,1177590,2,102.0,1
3.0,1.0,62,-23.6125316,-46.6803615,746574,3,265.9144284057294,0
3.0,2.0,93,-23.5356866,-46.6683562,1126940,1,34.0,1
3.0,1.0,186,-23.5367988,-46.6675481,1400580,3,11.0,1
4.0,3.0,170,-23.5996186,-46.6639073,1912260,2,8.0,1
4.0,2.0,175,-23.6165207,-46.6717861,1475740,3,201.1277553589121,0
3.0,1.0,215,-23.5548938,-46.6742594,2010290,3,156.0,1
2.0,3.0,130,-23.5675804,-46.6469312,1658380,1,110.3318246270362,0
2.0,1.0,64,-23.6191123,-46.6367869,564833,2,86.02604621237707,0
3.0,1.0,130,-23.5662422,-46.6585863,1290880,2,203.0,1
1.0,2.0,122,-23.601446,-46.717651,1093710,3,56.0,1
4.0,4.0,276,-23.574973,-46.6505731,4080670,2,32.23459605152708,0
4.0,2.0,150,-23.5808002,-46.6769165,1689050,2,70.0,1
2.0,1.0,120,-23.583723,-46.6800915,1381800,3,28.680327834402224,0
2.0,1.0,100,-23.548385,-46.6565268,810720,1,177.52411673033325,0
2.0,1.0,97,-23.5558088,-46.6483557,802490,2,36.0,1
3.0,1.0,120,-23.5737131,-46.6595518,1016350,2,142.0,1
4.0,4.0,216,-23.5418611,-46.7270288,2790590,3,167.32700146854506,0
2.0,1.0,48,-23.6083869,-46.6298825,437162,1,234.13760985224965,0
2.0,2.0,55,-23.5611669,-46.578667,331735,3,7.0,1
2.0,1.0,70,-23.594879,-46.626999,722670,2,318.1523761420383,0
2.0,2.0,67,-23.6288653,-46.6431841,1021210,1,171.49080985792077,0
3.0,1.0,97,-23.55078,-46.643969,506762,2,29.0,1
2.0,1.0,85,-23.562834,-46.6801153,735603,3,11.0,1
2.0,1.0,120,-23.5380023,-46.6614989,930867,3,115.88212621235279,0
2.0,1.0,65,-23.5679414,-46.6545237,1269010,3,152.03424880896895,0
2.0,1.0,50,-23.534507,-46.6856719,483246,2,130.0,1
1.0,2.0,122,-23.601446,-46.717651,1093710,2,30.0,1
3.0,1.0,64,-23.6111567,-46.7242833,526459,3,61.03440693120666,0
3.0,2.0,76,-23.5627788,-46.5999756,562871,3,41.06194618868825,0
2.0,1.0,136,-23.5578723,-46.6615168,1995140,3,104.0,1
2.0,1.0,62,-23.6231593,-46.6250221,433166,2,77.0,1
4.0,4.0,270,-23.5364668,-46.6795653,2690830,2,63.0,1
4.0,4.0,250,-23.578361,-46.6698801,2485590,2,150.0,1
1.0,1.0,30,-23.560198,-46.6218485,385250,1,233.1310984313866,0
3.0,4.0,320,-23.6194404,-46.6735745,3487350,2,6.0,1
4.0,4.0,132,-23.6186442,-46.6335015,1570220,1,113.97599508522772,0
3.0,2.0,120,-23.6124872,-46.7361891,746572,1,316.6114875509894,0
3.0,2.0,97,-23.56221,-46.630224,960702,1,138.0,1
1.0,1.0,65,-23.5518801,-46.6547981,589603,3,13.0,1
4.0,2.0,270,-23.5380398,-46.6604947,2741770,2,186.010107262453,0
3.0,1.0,168,-23.5668589,-46.6609185,2051760,2,180.47663105171787,0
4.0,4.0,457,-23.6054529,-46.7045123,3435120,1,25.0,1
3.0,2.0,182,-23.564859,-46.6484828,1606840,2,38.42663171746511,0
3.0,2.0,98,-23.603322,-46.6654705,1121790,3,122.3791346958118,0
3.0,2.0,155,-23.5882965,-46.6366419,1763340,2,168.12331474727569,0
3.0,2.0,230,-23.5643118,-46.6503507,1596960,1,33.981107021965045,0
3.0,1.0,61,-23.6149954,-46.5969541,298469,3,6.9734867156572555,0
3.0,2.0,220,-23.5942828,-46.6458573,2236370,2,142.0,1
4.0,2.0,142,-23.5925334,-46.671478,2103120,1,86.0,1
2.0,2.0,80,-23.532292,-46.705484,614286,3,104.09695742787436,0
4.0,3.0,124,-23.6260487,-46.7330375,968530,2,198.0,1
3.0,1.0,130,-23.5514584,-46.6539606,1010480,3,112.0,1
1.0,1.0,32,-23.5708089,-46.6576442,409952,1,42.55868169561059,0
3.0,3.0,119,-23.6151197,-46.6856933,1557980,1,43.0,1
3.0,2.0,127,-23.5391853,-46.6692787,1111940,3,127.0,1
2.0,1.0,80,-23.5884312,-46.673461,867917,3,28.77141783205595,0
4.0,3.0,160,-23.6211923,-46.7376911,1049650,3,3.0,1
3.0,1.0,83,-23.5333734,-46.668047,1253200,2,318.80799725199364,0
3.0,3.0,320,-23.5449849,-46.6582829,3729860,2,102.7921182013796,0
3.0,2.0,160,-23.5865331,-46.6423076,1359110,3,60.29923938141404,0
3.0,2.0,84,-23.5834404,-46.6265534,723383,3,48.88797686710733,0
3.0,2.0,151,-23.5464366,-46.6942966,1567080,3,60.0,1
2.0,2.0,85,-23.5354632,-46.6949941,773353,1,9.0,1
3.0,3.0,290,-23.6222179,-46.7390657,1526000,2,98.0,1
2.0,1.0,35,-23.6289504,-46.6360883,353282,3,167.0,1
4.0,2.0,240,-23.5367197,-46.6601372,2689530,2,225.76043766885675,0
4.0,4.0,246,-23.623664,-46.7356817,1674140,2,10.882251737193478,0
4.0,4.0,173,-23.5341635,-46.6775915,2126670,2,2.0,1
3.0,2.0,157,-23.5707442,-46.6586196,1916270,3,73.0,1
2.0,1.0,73,-23.5767906,-46.590736,334880,2,46.0,1
2.0,1.0,52,-23.5468766,-46.6944203,479286,1,5.0,1
4.0,4.0,355,-23.627852,-46.7195047,3103700,3,352.1501535516825,0
4.0,3.0,296,-23.5721857,-46.6475331,2646440,1,2.0,1
2.0,2.0,72,-23.5819103,-46.6343983,586002,1,128.0,1
2.0,2.0,118,-23.6126108,-46.6878865,1462060,2,184.0,1
4.0,3.0,140,-23.569292,-46.7272865,804690,1,5.0,1
3.0,1.0,105,-23.5953398,-46.6766738,1062600,1,1.0,1
3.0,2.0,107,-23.6107824,-46.6950502,1391780,3,229.0753461203635,0
3.0,2.0,200,-23.5337833,-46.6641904,1849070,1,90.7005478422022,0
2.0,2.0,160,-23.5650924,-46.6435065,1685070,2,146.72783023639596,0
1.0,1.0,40,-23.5663786,-46.6636685,607076,2,196.76101394943865,0
2.0,1.0,110,-23.5469253,-46.6546653,998662,3,17.0,1
2.0,1.0,70,-23.594104,-46.648007,661483,1,147.0,1
2.0,2.0,85,-23.5760894,-46.6189917,697968,1,10.0,1
3.0,2.0,172,-23.6193033,-46.7379953,2049940,3,25.86547134011592,0
2.0,1.0,62,-23.5364538,-46.6775222,795465,3,190.98680313316683,0
4.0,4.0,317,-23.6248211,-46.672768,2806920,1,33.0,1
3.0,1.0,200,-23.546892,-46.6583824,2241280,2,17.21433178883371,0
3.0,2.0,110,-23.557881,-46.65529,843845,3,70.0,1
4.0,2.0,240,-23.5465691,-46.6546898,1851040,3,21.731809687836936,0
3.0,2.0,96,-23.5998751,-46.6476606,880224,2,192.2631204991113,0
3.0,1.0,85,-23.5626692,-46.6936145,806472,1,1.0,1
2.0,1.0,98,-23.598008,-46.6809931,1129000,1,24.0,1
3.0,2.0,127,-23.5955223,-46.6692071,1304730,3,95.0,1
3.0,1.0,100,-23.5674438,-46.6461774,826410,1,203.0,1
2.0,1.0,105,-23.5709013,-46.628136,577818,3,43.0,1
4.0,3.0,148,-23.6129473,-46.6244062,1347480,3,133.0,1
4.0,2.0,120,-23.627521,-46.7317909,576846,2,15.0,1
2.0,1.0,71,-23.539838,-46.704217,543175,2,15.703191670543912,0
4.0,2.0,137,-23.5249979,-46.7309089,1291330,2,205.14539121183114,0
2.0,2.0,55,-23.6120872,-46.6661385,733533,1,51.0,1
2.0,2.0,63,-23.5022153,-46.6302214,465284,1,35.0,1
3.0,1.0,83,-23.5703252,-46.6244662,551924,1,105.0,1
2.0,1.0,66,-23.5569212,-46.6766084,629578,1,9.0,1
2.0,2.0,90,-23.6266386,-46.6663345,991230,1,303.1799454586966,0
2.0,1.0,62,-23.6124391,-46.6794743,688415,3,195.32497423042275,0
4.0,3.0,115,-23.6028068,-46.6344326,1254090,3,200.48555357121836,0
3.0,2.0,88,-23.5258915,-46.7322336,955336,1,278.42418334635846,0
4.0,3.0,135,-23.6232341,-46.7195204,1608960,1,192.66431045745625,0
2.0,1.0,96,-23.5474982,-46.655254,1075810,2,15.55683188493453,0
2.0,2.0,101,-23.5732221,-46.6498136,1255270,1,35.0,1
2.0,2.0,120,-23.6364268,-46.6380656,729792,1,45.0,1
2.0,2.0,80,-23.5761789,-46.6479898,920933,3,214.0,1
4.0,6.0,315,-23.5909115,-46.6260305,3939630,3,93.80104324249267,0
4.0,4.0,400,-23.6061841,-46.7056833,2926930,1,190.67976938142863,0
4.0,5.0,427,-23.6366667,-46.73,4280420,3,173.34215761454,0
3.0,2.0,76,-23.5991215,-46.7307264,585722,3,204.0,1
3.0,2.0,134,-23.5925198,-46.6253135,1162810,2,12.0,1
1.0,1.0,60,-23.5574871,-46.6798912,594020,3,13.0,1
3.0,3.0,165,-23.6122271,-46.7369853,1133470,3,1.0,1
3.0,2.0,75,-23.5349076,-46.6868006,865892,1,188.0,1
4.0,4.0,320,-23.6261676,-46.7224136,2293740,3,133.86121610726684,0
4.0,3.0,210,-23.5634197,-46.6601755,2559850,3,303.4566944107114,0
3.0,2.0,177,-23.55736,-46.6046844,1310900,3,6.0,1
2.0,1.0,69,-23.5045065,-46.6400248,509597,3,51.0,1
2.0,1.0,64,-23.6228566,-46.7262469,465424,3,83.00032276151154,0
4.0,4.0,225,-23.6242426,-46.7380337,1639010,3,111.0,1
4.0,3.0,370,-23.5425344,-46.6589149,3144190,3,8.0,1
2.0,1.0,65,-23.5608129,-46.6057828,481403,2,141.0,1
2.0,1.0,67,-23.6010016,-46.6110058,642651,1,69.74777959968058,0
3.0,2.0,230,-23.541714,-46.6614127,2370240,2,188.0,1
2.0,2.0,151,-23.6011079,-46.7161175,1853840,1,236.17096655755012,0
3.0,2.0,101,-23.6436237,-46.6427401,833943,1,1.0,1
4.0,4.0,233,-23.6246285,-46.6673149,2566180,2,144.14655399722565,0
3.0,2.0,84,-23.5922364,-46.6472276,1059910,1,45.04407201751888,0
3.0,2.0,111,-23.613294,-46.7391951,714641,3,34.0,1
3.0,1.0,84,-23.6124041,-46.6441521,764455,3,5.503810514541843,0
1.0,1.0,47,-23.5674545,-46.6215974,222029,2,21.0,1
3.0,2.0,85,-23.606544,-46.620249,834268,1,156.0,1
3.0,2.0,92,-23.561991,-46.5871744,771757,2,12.550181707142457,0
3.0,2.0,110,-23.5787342,-46.6509001,1142410,2,58.0,1
4.0,2.0,182,-23.5513556,-46.7185483,1607760,3,36.0,1
3.0,3.0,125,-23.4920977,-46.6394991,1207330,1,178.4583332331433,0
3.0,2.0,86,-23.5048134,-46.6770845,434440,1,5.0,1
4.0,3.0,250,-23.6071586,-46.7027485,1098650,2,80.24035747858606,0
3.0,2.0,126,-23.6074496,-46.6343411,1009450,2,91.0,1
4.0,3.0,220,-23.6216167,-46.6709273,1916900,3,0.9320329768918079,0
3.0,2.0,94,-23.6096204,-46.6248447,717242,1,72.0,1
3.0,1.0,107,-23.5642702,-46.6446285,994237,3,122.0,1
3.0,2.0,145,-23.5404593,-46.670267,1226630,1,54.0,1
4.0,4.0,280,-23.5729471,-46.6489284,2953120,1,47.0,1
3.0,2.0,115,-23.6107232,-46.6324639,1200390,3,76.0,1
3.0,2.0,170,-23.6023785,-46.6696228,1551910,3,1.0,1
4.0,4.0,175,-23.6257065,-46.7342647,1274780,3,64.7716882931547,0
2.0,1.0,96,-23.6192829,-46.6753207,673272,2,50.0,1
2.0,1.0,70,-23.5987346,-46.6819259,554862,3,76.0,1
4.0,2.0,180,-23.5249979,-46.7309089,1696640,3,135.66019567957568,0
3.0,1.0,132,-23.5321592,-46.7138805,934660,3,122.59687654201596,0
2.0,2.0,60,-23.6380119,-46.6691809,417122,3,127.0,1
3.0,1.0,146,-23.5398725,-46.6580695,1199800,1,85.0,1
4.0,2.0,120,-23.5229364,-46.6836592,1156520,1,258.79475535927804,0
5.0,2.0,330,-23.5453796,-46.6539518,2946920,2,2.0,1
3.0,2.0,126,-23.5926294,-46.6280152,1055720,3,56.140921417881835,0
4.0,4.0,200,-23.628344,-46.7236918,1694600,3,1.9863147080494414,0
4.0,3.0,200,-23.576307,-46.6477434,2135240,2,318.21404763152424,0
2.0,2.0,141,-23.5566162,-46.6077415,1040130,3,353.7026489724067,0
3.0,2.0,150,-23.5975802,-46.6716415,2116180,3,56.61094673201834,0
3.0,1.0,110,-23.5575544,-46.6517653,1032040,3,33.61577479783217,0
2.0,2.0,109,-23.5592611,-46.6827549,1489680,2,294.7765331474726,0
2.0,1.0,66,-23.6212288,-46.7386081,322294,2,103.0,1
1.0,1.0,92,-23.6091609,-46.7349482,854081,2,163.31090220654943,0
1.0,1.0,67,-23.6188346,-46.6853719,970063,1,17.0,1
4.0,4.0,200,-23.554153,-46.7142958,2687310,1,67.42127096964605,0
3.0,1.0,99,-23.553149,-46.647047,1025450,3,135.0,1
2.0,2.0,83,-23.6151197,-46.6856933,1086660,3,264.0303866747213,0
2.0,1.0,56,-23.56221,-46.630224,554632,1,12.0,1
4.0,3.0,210,-23.5871758,-46.6436919,1888610,2,99.0,1
3.0,1.0,100,-23.5984004,-46.7313082,529194,1,52.0,1
3.0,1.0,119,-23.5816624,-46.6766737,1323800,3,72.0,1
4.0,4.0,264,-23.5472965,-46.5696659,2091380,2,108.0,1
2.0,1.0,55,-23.605661,-46.622978,409118,1,29.0,1
4.0,4.0,230,-23.5458744,-46.6602783,2677270,1,100.76851236068728,0
3.0,1.0,132,-23.555077,-46.6828312,932885,2,44.0,1
3.0,3.0,151,-23.6268033,-46.6713379,1661810,3,46.676551333201964,0
4.0,2.0,158,-23.5653398,-46.6537675,1778640,3,339.5457109221974,0
2.0,1.0,63,-23.6266184,-46.6653728,591817,1,59.0,1
3.0,2.0,98,-23.6073523,-46.6324647,826133,2,89.0,1
4.0,4.0,232,-23.62029,-46.7377585,1837940,1,35.0,1
2.0,1.0,61,-23.6083621,-46.6220356,552744,3,117.0,1
4.0,3.0,205,-23.5925224,-46.6283659,1927840,3,16.0,1
3.0,2.0,118,-23.4916584,-46.6126942,1129230,1,14.0,1
3.0,3.0,142,-23.5672411,-46.5821214,837150,1,63.0,1
3.0,2.0,190,-23.5823756,-46.6750043,2107640,2,353.8327150983832,0
3.0,1.0,160,-23.5412996,-46.6585112,1547200,3,56.485597836603446,0
3.0,2.0,250,-23.6241482,-46.6673454,1986990,3,48.80493991377879,0
4.0,4.0,216,-23.5778957,-46.6375347,2137140,1,45.0,1
3.0,3.0,123,-23.6072278,-46.6362048,1194500,2,67.0,1
3.0,2.0,179,-23.60648,-46.621982,1289140,3,129.0,1
4.0,4.0,190,-23.5329342,-46.6783255,2644830,1,206.8317888053426,0
3.0,3.0,129,-23.6326857,-46.7000369,1353570,3,113.68847980818845,0
3.0,3.0,351,-23.5757385,-46.6487913,3670500,1,269.90081402943474,0
3.0,1.0,68,-23.5624565,-46.5820635,513635,2,106.0,1
3.0,1.0,140,-23.5682134,-46.6881637,1278170,2,22.0,1
3.0,2.0,86,-23.5883109,-46.6443538,841267,3,13.0,1
