rooms,garages,useful_area,latitude,longitude,value,interior_quality
3.0,1.0,85,-23.6191697,-46.6643511,810834,3
4.0,3.0,198,-23.6156706,-46.7325918,1230040,3
4.0,3.0,164,-23.5475262,-46.6943004,2173990,2
3.0,3.0,171,-23.6110257,-46.6833758,2063960,3
4.0,4.0,280,-23.6204956,-46.6765252,2581600,3
2.0,1.0,84,-23.531996,-46.70539,470194,1
3.0,2.0,120,-23.5280626,-46.6973977,1163760,1
3.0,3.0,146,-23.6430628,-46.6711152,1377970,1
2.0,1.0,65,-23.6026804,-46.6684052,674564,2
4.0,3.0,389,-23.6258252,-46.7318715,2308050,1
4.0,4.0,217,-23.5990985,-46.6488071,2396240,3
4.0,3.0,149,-23.5499246,-46.569688,1024470,2
3.0,1.0,110,-23.539437,-46.704078,872451,3
3.0,4.0,221,-23.5359691,-46.6791006,2002860,3
3.0,1.0,130,-23.6025433,-46.670061,1184620,3
4.0,2.0,160,-23.5702329,-46.634738,1377780,1
3.0,3.0,227,-23.6043633,-46.6672708,2884050,3
4.0,4.0,213,-23.5886821,-46.6454059,2976680,2
3.0,1.0,170,-23.5720023,-46.6473916,1956980,3
3.0,3.0,140,-23.5367809,-46.6797935,1475900,1
3.0,1.0,98,-23.5614486,-46.6652185,1191690,3
3.0,2.0,160,-23.605971,-46.667947,1707480,3
3.0,1.0,69,-23.4984597,-46.6363498,660315,1
2.0,1.0,55,-23.6348257,-46.6374906,350881,1
2.0,1.0,76,-23.5635308,-46.6481519,1395970,1
3.0,2.0,157,-23.6257665,-46.7310478,916382,1
4.0,3.0,385,-23.559779,-46.6662376,4365810,1
2.0,1.0,95,-23.57403,-46.6446925,840086,2
3.0,2.0,157,-23.5992973,-46.6315409,1681020,3
2.0,2.0,112,-23.5329102,-46.6808979,1249860,2
2.0,1.0,65,-23.5975956,-46.626634,531740,2
1.0,1.0,53,-23.5584615,-46.6638849,777516,2
2.0,1.0,47,-23.5685341,-46.6600492,650626,1
3.0,2.0,230,-23.5427705,-46.6627694,2740680,1
3.0,2.0,212,-23.5617015,-46.60137,1387670,2
3.0,2.0,82,-23.5330728,-46.6937639,663992,2
4.0,1.0,176,-23.5726082,-46.6572467,2125920,3
4.0,2.0,400,-23.5440596,-46.6553288,4662330,2
3.0,1.0,137,-23.5825307,-46.6832913,1338900,3
4.0,2.0,260,-23.6236526,-46.7360369,1460110,2
3.0,3.0,147,-23.5434098,-46.7244373,1668400,2
2.0,1.0,97,-23.5646597,-46.6281995,1061730,1
2.0,1.0,60,-23.6016968,-46.6433682,355345,2
3.0,3.0,136,-23.6075553,-46.6916043,1476870,3
3.0,1.0,125,-23.567133,-46.6443755,1294760,1
4.0,3.0,213,-23.5339445,-46.669154,2280240,1
2.0,1.0,68,-23.6376474,-46.7136907,631277,1
4.0,4.0,222,-23.5939769,-46.6395066,3232090,2
1.0,1.0,52,-23.5567032,-46.5686036,513995,1
3.0,1.0,140,-23.5467066,-46.6581372,1259370,2
2.0,3.0,170,-23.5376343,-46.6887211,1595680,3
3.0,1.0,231,-23.5458607,-46.6565965,2139700,1
1.0,1.0,60,-23.5811281,-46.6763195,986499,3
4.0,3.0,255,-23.5491834,-46.5956555,1815010,2
3.0,2.0,150,-23.5709798,-46.6338699,1269290,3
2.0,1.0,68,-23.6352067,-46.6389672,563414,1
3.0,2.0,74,-23.5745632,-46.7312812,608586,1
3.0,2.0,172,-23.5727111,-46.6464431,1980010,2
3.0,2.0,115,-23.6199969,-46.6708588,1075090,2
2.0,1.0,60,-23.5615817,-46.6301231,568029,3
3.0,1.0,177,-23.5662315,-46.6534279,2145160,3
4.0,2.0,137,-23.5608129,-46.6057828,1014650,2
3.0,2.0,442,-23.5425208,-46.6604152,4657940,3
3.0,1.0,123,-23.546608,-46.6575913,1069270,2
4.0,3.0,210,-23.6253328,-46.671249,1685560,3
4.0,3.0,220,-23.6060739,-46.6554163,2303100,1
3.0,1.0,120,-23.5616842,-46.6693752,1516880,1
3.0,1.0,162,-23.6019803,-46.6668445,1822270,2
2.0,1.0,67,-23.5904592,-46.6780225,742810,2
3.0,2.0,130,-23.6130023,-46.7063556,1004380,3
4.0,3.0,142,-23.6426107,-46.7096361,1098730,3
3.0,2.0,155,-23.5566162,-46.6077415,1143410,1
2.0,2.0,240,-23.5865433,-46.6856852,4135990,2
2.0,1.0,55,-23.5600899,-46.6987987,674134,1
2.0,1.0,48,-23.6229416,-46.6626832,320240,3
2.0,1.0,65,-23.5985308,-46.6732474,728786,3
1.0,2.0,80,-23.5961949,-46.6820759,944867,2
3.0,1.0,108,-23.559243,-46.6662783,1584370,2
3.0,1.0,63,-23.633358,-46.7379012,497199,2
3.0,2.0,155,-23.5309104,-46.7258838,1349880,3
4.0,3.0,227,-23.5531106,-46.5717714,1947450,1
3.0,1.0,127,-23.6027623,-46.6643052,1092950,3
1.0,1.0,63,-23.6183395,-46.63305,648575,3
4.0,4.0,325,-23.6276993,-46.671928,2370590,3
3.0,4.0,240,-23.6182548,-46.7380826,1705840,1
3.0,2.0,172,-23.6143234,-46.6817543,1889800,3
1.0,1.0,37,-23.6133477,-46.6631475,477419,1
3.0,3.0,160,-23.5861269,-46.6414289,1535560,1
4.0,5.0,344,-23.5335428,-46.663156,4792420,2
3.0,1.0,124,-23.5659486,-46.657004,1191460,1
2.0,2.0,58,-23.5626259,-46.622129,614751,3
3.0,2.0,159,-23.5660539,-46.6550249,1997940,2
3.0,1.0,159,-23.5681165,-46.5830398,958482,2
4.0,3.0,184,-23.5682716,-46.5953643,1351500,1
3.0,3.0,313,-23.5820338,-46.6831102,4912430,1
2.0,1.0,65,-23.621641,-46.6375014,520498,1
4.0,4.0,209,-23.6347054,-46.7146293,2074450,1
3.0,2.0,250,-23.5397469,-46.6701964,1850820,3
3.0,2.0,110,-23.6235122,-46.6690516,734323,1
2.0,1.0,80,-23.5713184,-46.6349529,554962,3
3.0,1.0,110,-23.6132107,-46.6814173,958946,3
4.0,1.0,163,-23.5371987,-46.6696167,1342800,2
3.0,3.0,181,-23.6247745,-46.7341403,930330,3
1.0,2.0,80,-23.561763,-46.688683,1152820,2
3.0,1.0,98,-23.5353388,-46.6681425,911528,1
3.0,2.0,126,-23.5620798,-46.6780225,1269150,3
4.0,2.0,160,-23.5333355,-46.6938506,1250160,1
4.0,3.0,340,-23.5822002,-46.6696581,4579490,3
4.0,3.0,198,-23.6112939,-46.6801293,2429850,1
1.0,1.0,40,-23.60069,-46.6710667,449944,3
3.0,1.0,110,-23.6093671,-46.6953882,1046690,3
4.0,3.0,260,-23.6250202,-46.7331899,1477810,3
2.0,2.0,97,-23.6342856,-46.725536,989838,2
4.0,2.0,123,-23.583884,-46.631107,1317350,2
3.0,3.0,94,-23.5596846,-46.6794662,930632,3
2.0,2.0,70,-23.5535271,-46.6981076,817557,1
3.0,3.0,120,-23.6333898,-46.7293493,890554,1
4.0,4.0,200,-23.5777718,-46.6482458,2237180,2
2.0,1.0,88,-23.5724686,-46.6512921,941471,2
3.0,1.0,61,-23.6149954,-46.5969541,298469,2
4.0,3.0,226,-23.6297693,-46.7294905,1354870,2
3.0,2.0,115,-23.5969871,-46.6803752,1121580,3
3.0,2.0,120,-23.5713184,-46.6349529,832444,1
2.0,2.0,100,-23.5421384,-46.6874911,1073280,2
4.0,2.0,154,-23.606105,-46.616972,1320650,2
2.0,1.0,143,-23.5464682,-46.6587666,1386030,2
2.0,1.0,60,-23.5568095,-46.6773355,700630,3
2.0,1.0,58,-23.63904,-46.735637,371633,3
3.0,3.0,125,-23.6179342,-46.7364061,793709,3
2.0,1.0,114,-23.6026804,-46.6684052,1183080,2
2.0,2.0,75,-23.6124413,-46.6837438,841703,3
3.0,2.0,154,-23.55068,-46.719099,1778800,3
2.0,1.0,55,-23.6472845,-46.6669989,467658,1
2.0,1.0,66,-23.606563,-46.620102,492377,2
4.0,3.0,162,-23.60069,-46.6615515,2166850,3
3.0,1.0,180,-23.5623147,-46.6625959,2124010,2
2.0,1.0,139,-23.5438047,-46.6565642,1151080,2
3.0,1.0,125,-23.5580383,-46.6734659,1249060,3
4.0,6.0,200,-23.628344,-46.7236918,1694600,1
3.0,1.0,139,-23.5633849,-46.6955571,1307780,1
4.0,4.0,244,-23.5911488,-46.719962,2573540,1
3.0,2.0,125,-23.5357364,-46.6705105,771064,3
3.0,3.0,110,-23.5694342,-46.5907483,734266,1
2.0,1.0,65,-23.6369522,-46.6699293,441849,2
1.0,1.0,42,-23.535388,-46.65615,466477,1
4.0,4.0,184,-23.6117731,-46.6327801,1701560,1
3.0,1.0,96,-23.5339681,-46.6757644,821614,1
3.0,2.0,75,-23.6092296,-46.7081801,674379,2
2.0,1.0,124,-23.6388019,-46.6386876,1224510,2
3.0,3.0,215,-23.6053234,-46.6733548,2697330,1
2.0,1.0,78,-23.5381183,-46.6525289,650718,1
3.0,1.0,125,-23.5348906,-46.6688228,1261520,3
2.0,2.0,130,-23.6324194,-46.7383636,1549370,1
4.0,2.0,230,-23.5680908,-46.6651209,3374130,1
2.0,2.0,90,-23.5960736,-46.6757419,1438270,3
4.0,4.0,187,-23.6087942,-46.6570027,3279420,1
3.0,2.0,91,-23.6331656,-46.6354108,934403,1
2.0,1.0,70,-23.5893343,-46.6786127,692770,3
2.0,1.0,60,-23.6329027,-46.6451261,450421,3
3.0,1.0,130,-23.5526878,-46.6512198,1179210,2
3.0,1.0,79,-23.5288616,-46.7271332,656126,1
3.0,2.0,84,-23.553197,-46.6755822,1095640,1
1.0,1.0,60,-23.5879841,-46.6710765,1140050,3
3.0,2.0,100,-23.5424046,-46.6839891,966492,3
2.0,1.0,55,-23.585862,-46.632346,567676,1
3.0,2.0,120,-23.621076,-46.6750393,1284990,1
4.0,3.0,240,-23.572649,-46.6567574,4660860,3
3.0,2.0,108,-23.6430628,-46.6711152,1019320,1
4.0,4.0,288,-23.575329,-46.6324292,3547410,3
3.0,2.0,185,-23.6221964,-46.6704833,2041420,2
4.0,5.0,252,-23.6263195,-46.6699977,2666170,3
4.0,2.0,180,-23.5510128,-46.6988662,2106010,2
3.0,2.0,178,-23.5869864,-46.7177788,1628660,1
3.0,2.0,99,-23.5291045,-46.7257368,1158180,2
4.0,3.0,380,-23.5714021,-46.6563277,3225860,1
3.0,2.0,87,-23.5258125,-46.6996764,743718,3
4.0,4.0,403,-23.5460417,-46.5678852,2837780,2
3.0,2.0,123,-23.5307263,-46.6826738,1414620,1
2.0,1.0,72,-23.5610753,-46.674417,898242,2
3.0,2.0,143,-23.581733,-46.6737597,1779900,2
4.0,4.0,276,-23.6364718,-46.7276921,3107400,3
1.0,1.0,58,-23.5530389,-46.6516139,453733,2
2.0,2.0,78,-23.5809823,-46.716895,604042,1
3.0,2.0,160,-23.55517,-46.569395,1100100,1
4.0,4.0,371,-23.6000314,-46.6716161,4765690,1
2.0,1.0,100,-23.5398985,-46.6600129,871126,2
3.0,2.0,210,-23.6131564,-46.7385854,1858180,1
4.0,3.0,139,-23.5838508,-46.6392392,1883580,1
3.0,1.0,150,-23.5612034,-46.6714649,1567660,3
5.0,4.0,320,-23.6458898,-46.7005618,2083440,3
3.0,1.0,54,-23.5030698,-46.6836426,261279,2
2.0,1.0,98,-23.5700258,-46.6532852,932650,2
4.0,1.0,130,-23.5472006,-46.6548821,1456830,1
3.0,1.0,63,-23.5300182,-46.7252102,618686,3
4.0,4.0,318,-23.620173,-46.7358071,1462270,2
1.0,1.0,41,-23.5232852,-46.6827043,505550,2
3.0,1.0,116,-23.536674,-46.6671099,1711010,1
4.0,3.0,206,-23.6193939,-46.6813057,2225770,2
2.0,1.0,92,-23.5875604,-46.6421129,783535,1
4.0,2.0,150,-23.5819463,-46.6833433,2192230,1
3.0,1.0,210,-23.570792,-46.644667,1932000,3
3.0,3.0,104,-23.6281839,-46.6934048,932758,3
3.0,5.0,272,-23.5622,-46.6603542,2895200,2
4.0,3.0,270,-23.5392796,-46.6605756,2789570,3
3.0,2.0,118,-23.5648077,-46.6588319,1514030,3
3.0,3.0,244,-23.5838662,-46.675963,3416630,3
2.0,2.0,65,-23.6058195,-46.6652195,957808,2
3.0,4.0,119,-23.5818397,-46.6474249,1422090,3
4.0,3.0,283,-23.5911488,-46.719962,2984890,3
3.0,2.0,135,-23.5621895,-46.6521829,1356640,1
2.0,1.0,105,-23.5703476,-46.6478431,1071550,2
3.0,2.0,102,-23.605195,-46.62193,1015270,1
4.0,4.0,247,-23.6163033,-46.6720764,2546690,2
1.0,1.0,53,-23.6089775,-46.6323622,395992,3
2.0,1.0,90,-23.554289,-46.64957,733898,1
3.0,1.0,63,-23.5531221,-46.5999568,475445,3
1.0,1.0,140,-23.5381779,-46.659244,1505540,2
4.0,3.0,205,-23.590298,-46.6718958,3203930,2
4.0,4.0,365,-23.608775,-46.7253949,1604940,1
2.0,2.0,214,-23.6326974,-46.7351007,1609310,1
4.0,3.0,217,-23.5322013,-46.7258735,2079890,3
2.0,1.0,68,-23.6386968,-46.6713237,486815,1
2.0,2.0,160,-23.6006465,-46.638313,1663950,2
3.0,3.0,185,-23.5870273,-46.6727988,3212050,3
2.0,2.0,78,-23.601446,-46.717651,699255,1
2.0,2.0,66,-23.581966,-46.648079,927942,3
4.0,3.0,240,-23.5605458,-46.6642961,3341130,3
2.0,2.0,53,-23.5685341,-46.6600492,733684,2
4.0,4.0,239,-23.5270023,-46.7279342,2232750,1
3.0,2.0,104,-23.5317062,-46.6900736,1061870,2
1.0,1.0,34,-23.556856,-46.654545,352174,1
3.0,1.0,92,-23.598878,-46.6630378,994888,2
3.0,2.0,98,-23.586757,-46.678358,1402550,2
3.0,3.0,193,-23.5899612,-46.628627,1553840,1
4.0,2.0,178,-23.6161665,-46.6770057,1906070,1
4.0,4.0,220,-23.6099733,-46.7071653,1448950,3
3.0,2.0,79,-23.6141154,-46.6336138,766193,2
3.0,4.0,161,-23.6004733,-46.6708145,2467510,2
3.0,2.0,102,-23.6053234,-46.6733548,1279660,2
2.0,2.0,115,-23.5856859,-46.7216433,867512,3
4.0,3.0,205,-23.5948717,-46.6781894,2500790,3
1.0,1.0,28,-23.553918,-46.650421,296033,3
4.0,2.0,160,-23.6019316,-46.6703548,1763650,1
4.0,2.0,172,-23.6472847,-46.667403,1470870,3
3.0,2.0,107,-23.5652892,-46.6630318,1785960,1
3.0,3.0,220,-23.5993571,-46.6693922,2462110,2
3.0,2.0,104,-23.6299008,-46.701216,720158,3
2.0,1.0,70,-23.5435776,-46.6523811,432200,3
4.0,3.0,180,-23.5268705,-46.6926586,1996500,1
4.0,4.0,320,-23.5285369,-46.6967997,3286940,3
4.0,2.0,240,-23.5406566,-46.6570894,2255210,3
3.0,3.0,172,-23.5222513,-46.7273131,1872240,1
2.0,1.0,100,-23.6005665,-46.6630525,1015410,3
2.0,1.0,70,-23.6362442,-46.6683435,470141,3
3.0,2.0,96,-23.6373937,-46.6319097,949039,1
1.0,2.0,88,-23.5546844,-46.6744066,1310030,2
2.0,1.0,65,-23.5981749,-46.6826165,668044,3
4.0,3.0,200,-23.6068499,-46.6547825,2301430,1
3.0,2.0,180,-23.5474688,-46.6542029,1804420,2
3.0,3.0,162,-23.5522169,-46.6769493,2187030,2
3.0,3.0,180,-23.6004909,-46.6610896,2077970,1
4.0,3.0,183,-23.5404437,-46.6809437,1804940,2
2.0,1.0,100,-23.5556199,-46.6562802,907082,3
3.0,2.0,78,-23.5872458,-46.7223122,1100110,3
3.0,3.0,230,-23.545417,-46.6970753,2382650,2
4.0,2.0,240,-23.5582025,-46.6791793,2163120,1
3.0,4.0,311,-23.5097595,-46.6507406,2306240,3
4.0,3.0,193,-23.6230759,-46.6698143,1741170,1
3.0,2.0,142,-23.5965589,-46.6489143,1142580,3
3.0,1.0,65,-23.5969103,-46.5994407,460407,1
3.0,3.0,144,-23.530646,-46.6900921,1713290,2
3.0,1.0,147,-23.5647298,-46.6426518,1146270,2
3.0,1.0,127,-23.5727506,-46.6605481,1483220,3
4.0,2.0,140,-23.621793,-46.6819865,1220070,2
3.0,2.0,98,-23.5237051,-46.7013264,916787,2
3.0,2.0,138,-23.6172149,-46.6840777,1776600,2
3.0,1.0,90,-23.5622437,-46.6872568,709194,3
2.0,1.0,126,-23.537928,-46.652612,1042180,3
2.0,1.0,76,-23.6069955,-46.69516,991766,3
2.0,1.0,53,-23.6078373,-46.6193941,422557,1
4.0,5.0,418,-23.5770609,-46.6347814,3990940,1
4.0,3.0,132,-23.5783014,-46.649018,1821050,2
3.0,3.0,165,-23.6092613,-46.7049046,1279710,3
1.0,1.0,30,-23.5594457,-46.6515778,402579,1
4.0,4.0,145,-23.6159067,-46.6725565,1081250,3
1.0,1.0,45,-23.5634751,-46.6796607,565478,1
2.0,1.0,65,-23.60883,-46.613139,685320,3
1.0,2.0,90,-23.601446,-46.717651,806832,1
3.0,1.0,94,-23.5407398,-46.6530004,1053400,3
2.0,1.0,67,-23.6060202,-46.629774,538430,2
2.0,1.0,85,-23.5759967,-46.6488029,816332,3
3.0,3.0,201,-23.5298032,-46.7268387,2035400,1
1.0,1.0,52,-23.6048798,-46.7386991,619748,2
2.0,1.0,86,-23.5388051,-46.6518348,706288,2
4.0,2.0,116,-23.606708,-46.690385,1395120,2
2.0,1.0,64,-23.6149515,-46.6331335,563664,2
3.0,2.0,103,-23.5402342,-46.7154596,892539,1
2.0,2.0,72,-23.5541029,-46.6823764,728139,3
3.0,2.0,130,-23.5372768,-46.6799311,1376860,2
3.0,1.0,160,-23.534418,-46.658964,1370330,1
1.0,1.0,45,-23.6065071,-46.658834,508120,1
2.0,1.0,139,-23.5659732,-46.6589268,1508550,2
4.0,2.0,296,-23.5754462,-46.6447094,2881860,1
2.0,1.0,92,-23.5326339,-46.6651783,855720,2
2.0,1.0,100,-23.6029028,-46.6372041,570318,1
1.0,1.0,57,-23.58766,-46.6786648,717631,2
3.0,2.0,160,-23.5359088,-46.6611887,1793020,3
2.0,1.0,80,-23.5920304,-46.6352572,719268,1
3.0,1.0,75,-23.5902637,-46.7215651,470960,2
4.0,3.0,343,-23.5715048,-46.6343781,2564020,3
2.0,1.0,47,-23.5314155,-46.6657698,498560,2
1.0,1.0,37,-23.6084542,-46.6387044,329429,1
2.0,1.0,59,-23.6268047,-46.7304217,567667,3
2.0,2.0,111,-23.5356205,-46.7077365,1364480,3
4.0,3.0,204,-23.6062213,-46.6539233,2084750,2
3.0,3.0,177,-23.6264092,-46.7301313,1032750,2
2.0,1.0,85,-23.5630071,-46.6811043,1060420,1
1.0,1.0,55,-23.568323,-46.6523396,745477,1
2.0,2.0,121,-23.5548043,-46.6871301,1385230,2
3.0,2.0,151,-23.6269773,-46.6722389,1888380,2
4.0,3.0,205,-23.5793485,-46.6725539,2244230,1
3.0,4.0,161,-23.586757,-46.678358,2304190,1
3.0,2.0,160,-23.5512729,-46.6529529,1332020,3
3.0,2.0,129,-23.5636884,-46.6297206,1289680,2
2.0,1.0,103,-23.5437746,-46.6570159,1154260,2
2.0,1.0,86,-23.6065063,-46.6558619,1039420,2
3.0,2.0,108,-23.5285645,-46.6853354,1195910,2
3.0,2.0,66,-23.5613211,-46.6031008,445000,3
3.0,1.0,72,-23.536142,-46.5677374,610499,2
2.0,1.0,62,-23.5991353,-46.6293367,715386,3
3.0,1.0,79,-23.6245826,-46.6412702,682948,2
3.0,2.0,100,-23.5726416,-46.6255798,988603,3
3.0,1.0,141,-23.5727026,-46.6519952,1434640,1
3.0,3.0,140,-23.6019401,-46.6664132,2178910,2
2.0,1.0,120,-23.539475,-46.702913,1028810,1
4.0,3.0,192,-23.6288397,-46.6834069,2702750,2
4.0,4.0,380,-23.5714473,-46.6274863,4012900,2
3.0,3.0,152,-23.5927883,-46.6273403,2006920,1
3.0,4.0,199,-23.571051,-46.660216,3943260,3
3.0,3.0,326,-23.5448176,-46.6558515,4427240,1
3.0,3.0,108,-23.5839823,-46.6458994,990483,2
3.0,1.0,80,-23.580635,-46.6447626,666686,1
3.0,1.0,107,-23.5445158,-46.6489295,830196,2
3.0,3.0,220,-23.5566683,-46.6777917,1914140,2
3.0,2.0,119,-23.5603178,-46.6967032,1445420,3
4.0,3.0,222,-23.6284623,-46.7087046,2414070,1
4.0,4.0,272,-23.634385,-46.730643,1134910,1
4.0,2.0,90,-23.646648,-46.6681214,760008,3
4.0,4.0,213,-23.6000314,-46.6716161,2736100,1
2.0,2.0,61,-23.5520704,-46.6969833,829897,1
3.0,3.0,240,-23.6104974,-46.6612262,2818930,2
2.0,1.0,64,-23.6066139,-46.6664548,659472,1
3.0,4.0,248,-23.6100494,-46.7070565,1832290,3
2.0,1.0,65,-23.6046127,-46.6766732,741362,1
2.0,2.0,117,-23.5849814,-46.6801292,1880420,2
3.0,2.0,142,-23.5341096,-46.6640544,1346500,1
4.0,4.0,300,-23.592221,-46.628757,3342380,1
3.0,2.0,94,-23.6255607,-46.7395789,844494,3
4.0,4.0,180,-23.5917296,-46.6786016,2997300,1
2.0,1.0,67,-23.553449,-46.6739226,545772,2
3.0,3.0,200,-23.5753044,-46.6472915,1972480,2
3.0,2.0,95,-23.6205763,-46.6947651,1361560,3
4.0,3.0,106,-23.5962254,-46.6274135,1209440,2
2.0,3.0,280,-23.6005665,-46.6630525,2843140,2
4.0,3.0,207,-23.5823621,-46.6893622,2804460,2
3.0,2.0,200,-23.6130782,-46.6589754,2179320,2
2.0,1.0,51,-23.5533374,-46.6572429,524146,1
2.0,1.0,80,-23.6176824,-46.6949631,945818,3
4.0,3.0,160,-23.5905251,-46.6250238,2351460,3
2.0,1.0,78,-23.554421,-46.6914073,754607,2
4.0,3.0,151,-23.6022623,-46.6595083,1847900,2
2.0,1.0,74,-23.6262129,-46.6744411,1064680,1
3.0,1.0,72,-23.6361373,-46.7390978,858113,3
1.0,1.0,34,-23.6029875,-46.6699779,358699,2
3.0,2.0,70,-23.6072967,-46.6356435,702781,2
2.0,1.0,80,-23.5886648,-46.6391797,567620,2
3.0,2.0,95,-23.5990685,-46.6407542,957016,2
4.0,2.0,117,-23.641774,-46.7201059,1266570,2
3.0,1.0,120,-23.566683,-46.6673304,1225350,2
1.0,1.0,51,-23.622137,-46.6940196,717917,1
2.0,1.0,68,-23.609999,-46.613381,716950,3
3.0,1.0,136,-23.538264,-46.668714,1147910,3
4.0,4.0,394,-23.632981,-46.7329637,4177640,2
3.0,2.0,114,-23.6194625,-46.7315866,1004420,1
3.0,1.0,69,-23.4932621,-46.6320155,445600,1
3.0,3.0,167,-23.52628,-46.705146,1446460,2
3.0,3.0,340,-23.636608,-46.73532,1984160,1
4.0,4.0,178,-23.5294401,-46.674784,1919950,2
3.0,2.0,150,-23.6275199,-46.7395931,1450960,1
3.0,2.0,61,-23.625526,-46.6352046,545544,1
4.0,3.0,209,-23.521994,-46.712007,1689750,3
4.0,3.0,145,-23.5625555,-46.684531,1284340,3
4.0,4.0,200,-23.499382,-46.6418727,1683880,3
3.0,2.0,230,-23.536281,-46.6809342,2657120,3
4.0,1.0,128,-23.525228,-46.679219,1499790,2
1.0,1.0,42,-23.6104173,-46.6303846,327957,3
3.0,1.0,136,-23.5623141,-46.666107,1512930,1
2.0,1.0,76,-23.578298,-46.642011,715294,1
3.0,1.0,105,-23.6463908,-46.7004232,853643,1
2.0,2.0,120,-23.601446,-46.717651,1075780,1
2.0,1.0,64,-23.540591,-46.6504137,717209,1
